Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/hssf/util/RangeAddress;0;1;1;0.02515723270440251;0.9766397124887691;69;1.7358490566037732;67.38814016172508;;30;1;0;3;55;331;3;0;24;0.8735632183908045;768;0.0;0;0.0;0.39166666666666666;0;0;24.4
org/apache/poi/hssf/record/SeriesListRecord;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;12;2;0;4;24;36;1;3;10;0.7727272727272727;141;0.5;0;0.5714285714285714;0.4;1;6;10.583333333333334
org/apache/poi/poifs/filesystem/DocumentEntry;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;1;1;0;7;1;0;6;1;1;2.0;1;0.0;0;0.0;1.0;0;0;0.0
org/apache/poi/hssf/eventusermodel/AbortableHSSFListener;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;3;1;0;4;4;3;1;3;3;2.0;7;0.0;0;0.0;0.8333333333333334;0;0;1.3333333333333333
org/apache/poi/hssf/record/RecordFormatException;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;1;4;0;138;2;0;138;0;1;2.0;5;0.0;0;1.0;1.0;0;0;4.0
org/apache/poi/hssf/record/formula/MemErrPtg;0;2;2;0.02605570530098833;1.9559748427672956;71;1.6891284815813115;69.35220125786165;;11;2;0;3;14;33;1;3;11;0.9;66;0.75;0;0.55;0.32727272727272727;1;4;4.636363636363637
org/apache/poi/hssf/usermodel/HSSFCellStyle;0;1;1;0.02515723270440251;0.9766397124887691;73;1.8364779874213832;71.29469901168015;;42;1;0;9;89;0;7;2;41;1.0;361;0.06666666666666667;1;0.0;0.3047619047619048;0;0;6.523809523809524
org/apache/poi/hssf/record/formula/OperationPtg;0;1;1;0.02515723270440251;0.9766397124887691;74;1.8616352201257858;72.27133872416891;;5;2;18;21;6;10;20;1;5;1.25;13;0.0;0;0.7333333333333333;0.6;0;0;1.0
org/apache/poi/hpsf/Property;0;1;1;0.02515723270440251;0.9766397124887691;78;1.9622641509433958;76.17789757412399;;6;1;0;5;25;7;2;3;4;0.75;229;1.0;0;0.0;0.55;0;0;36.5
org/apache/poi/hssf/model/WorkbookRecordList;1;3;2;0.13027852650494154;1.9721473495058401;74;2.341419586702605;72.38454627133872;;28;1;0;2;35;198;1;1;28;0.8417508417508417;388;1.0;0;0.0;0.38392857142857145;0;0;12.464285714285714
